data origin: '../data/d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv'
19938 coding genes total
67729823 total expressions counted
gene name,unstranded count,normalized_count
TSPAN6,1970,2.90861530820773e-05
TNMD,0,0.0
DPM1,2926,4.3201057826476235e-05
SCYL3,1822,2.6901000464743575e-05
C1orf112,858,1.2667979362650926e-05
FGR,389,5.743407892856888e-06
CFH,3699,5.461405088863144e-05
FUCA2,5768,8.516189389716846e-05
GCLC,1660,2.4509144221445847e-05
NFYA,6078,8.973890275779991e-05
STPG1,1055,1.5576594670858656e-05
NIPAL3,1570,2.3180335197391553e-05
LAS1L,3686,5.442211180737915e-05
ENPP4,452,6.673574209694893e-06
SEMA3F,9036,0.000133412426015051
CFTR,30,4.42936341351431e-07
ANKIB1,2985,4.407216596446738e-05
CYP51A1,36,5.315236096217172e-07
KRIT1,319,4.709889763036882e-06
RAD52,186,2.7462053163788718e-06
BAD,876,1.2933741167461785e-05
LAP3,10451,0.00015430425678212683
CD99,0,0.0
HS3ST1,273,4.0307207062980215e-06
AOC1,12,1.7717453654057238e-07
WNT16,5,7.382272355857183e-08
HECW1,85,1.254986300495721e-06
MAD1L1,7,1.0335181298200056e-07
LASP1,10564,0.00015597265033455055
SNX11,1141,1.684634551606609e-05
TMEM176A,1675,2.4730612392121563e-05
M6PR,3483,5.1424909230901135e-05
KLHL13,334,4.931357933712598e-06
CYP26B1,119,1.7569808206940094e-06
ICA1,4734,6.98953546652558e-05
DBNDD1,4316,6.37237749757592e-05
ALS2,1710,2.5247371457031564e-05
CASP10,553,8.164793225578045e-06
CFLAR,5467,8.071776593894243e-05
TFPI,647,9.552660428479194e-06
NDUFAF7,667,9.847951322713482e-06
RBM5,2984,4.4057401419755666e-05
MTMR7,67,9.892244956848626e-07
SLC7A2,1433,2.1157592571886685e-05
ARF5,8954,0.00013220173334869043
SARM1,308,4.547479771208024e-06
POLDIP2,10238,0.00015115940875853168
PLXND1,9906,0.0001462575799142425
AK2,12989,0.0001917766712604579
CD38,258,3.809252535622306e-06
FKBP4,8073,0.00011919416945767008
KDM1A,10429,0.0001539794367984691
RBM6,3961,5.84823616031006e-05
CAMKK1,743,1.0970056720803774e-05
RECQL,786,1.1604932143407491e-05
VPS50,1238,1.8278506353102385e-05
HSPB6,82,1.2106926663605779e-06
ARHGAP33,404,5.964876063532604e-06
NDUFAB1,4803,7.09141082503641e-05
PDK4,206,3.041496210613159e-06
SLC22A16,9,1.328809024054293e-07
ZMYND10,1148,1.694969732904809e-05
ABCB5,2,2.952908942342873e-08
ARX,18,2.657618048108586e-07
SLC25A13,2091,3.087266299219474e-05
ST7,3380,4.990416112559456e-05
CDC27,2889,4.26547696721428e-05
SLC4A1,1,1.4764544711714365e-08
CALCR,3,4.4293634135143096e-08
HCCS,1560,2.303268975027441e-05
DVL2,1614,2.3829975164706985e-05
PRSS22,594,8.770139558758332e-06
UPF1,8188,0.00012089209209951723
SKAP2,612,9.035901363569191e-06
SLC25A5,16122,0.000238033989842259
MCUB,1205,1.779127637761581e-05
HOXA11,57,8.415790485677188e-07
POLR2J,2985,4.407216596446738e-05
DHX33,928,1.3701497492470932e-05
MEOX1,6,8.858726827028619e-08
THSD7A,60,8.85872682702862e-07
LIG3,1552,2.2914573392580694e-05
RPAP3,1516,2.2383049782958977e-05
ACSM3,25,3.6911361779285915e-07
REXO5,659,9.729834965019767e-06
CIAPIN1,3051,4.5046625915440526e-05
SPPL2B,3124,4.612443767939568e-05
FAM214B,1274,1.8810029962724103e-05
COPZ2,1613,2.3815210619995272e-05
PRKAR2B,944,1.393773020785836e-05
MSL3,2091,3.087266299219474e-05
CREBBP,5352,7.901984329709528e-05
TSPOAP1,702,1.0364710387623485e-05
MPO,16,2.3623271538742985e-07
PON1,6,8.858726827028619e-08
GCFC2,1075,1.5871885565092944e-05
WDR54,1491,2.201393616516612e-05
CROT,2041,3.013443575660902e-05
ABCB4,122,1.8012744548291526e-06
KMT2E,4731,6.985106103112066e-05
RHBDD2,7657,0.0001130521188575969
