gene,expression
AACS,0.030478107865011175
AAGAB,0.04170919848851806
AAK1,0.02880934189709802
AARS1,0.08658920439543778
AATF,0.03224827297807694
ABCC1,0.0367481937995067
ABCD3,0.05466399667620756
ABCD4,0.015971354245401106
ABCE1,0.03985352303753081
ABCF1,0.05203459736313526
ABHD12,0.04354022899188564
ABHD5,0.024840490794778645
ABI1,0.04597336009055338
ABI2,0.0359476082882486
ABL1,0.06076273437900086
ABL2,0.032346185499705055
ABR,0.046013983654505985
ACACA,0.06871388905845266
ACAD9,0.022312950388736447
ACAP2,0.038783662590144735
ACAT1,0.02493526248561761
ACBD3,0.04889519535959008
ACBD6,0.022406500000358442
ACIN1,0.08571958360865706
ACO1,0.04257736896752231
ACOX1,0.04609204120990449
ACP1,0.04440175191745313
ACTL6A,0.029526928799636733
ACTR10,0.031890259931189574
ACTR1A,0.06509256719622698
ACTR1B,0.035124029663388116
ACTR2,0.18297014729640632
ACTR3,0.12280037145384644
ACVR1B,0.03293376016457973
ADAM10,0.06787912691806702
ADD1,0.130963487501759
ADH5,0.062263478997343205
ADI1,0.036527247126940485
ADIPOR1,0.09957060581281066
ADNP,0.10283450280946518
ADO,0.018319872573632
ADPGK,0.027937338372735727
ADSS2,0.042838840134056616
AFF4,0.09339830811927793
AFTPH,0.05358621098401287
AGAP1,0.03166041925128215
AGAP3,0.03733280637770449
AGFG1,0.05031193477680076
AGO1,0.0338221150353628
AGO2,0.04241679595357728
AGPAT3,0.0607990737229769
AHCTF1,0.043053484982179924
AHCY,0.0819706736921518
AHCYL1,0.10875754586877852
AIFM1,0.030616426451294206
AIG1,0.02811511992592325
AK2,0.07160068527887925
AK3,0.03761039771958424
AKAP1,0.055755537138739535
AKAP11,0.04363487623985306
AKAP8,0.018471489049329957
AKIRIN2,0.02053075125040373
AKT1,0.06980495083815638
AKT2,0.07441421580059973
ALAD,0.03944086644191882
ALAS1,0.027726695771630085
ALDH18A1,0.0729124978113737
ALDH9A1,0.07517485155618968
ALG2,0.023271447404855743
ALKBH5,0.05397036735623158
ALMS1,0.023366640321758093
ALS2,0.01801193519703545
AMBRA1,0.024776681220109474
AMD1,0.05766368323478812
AMFR,0.08672303062941403
AMMECR1L,0.02324241763721398
AMOTL2,0.04800155778498689
ANAPC16,0.0587847350902288
ANAPC4,0.014239505325627122
ANAPC5,0.06821431768346678
ANAPC7,0.024715656502371865
ANGEL2,0.02299728616225812
ANKIB1,0.04383204631534053
ANKLE2,0.04441940761571519
ANKRD10,0.04275379670214346
ANKRD11,0.044425095311966735
ANKRD12,0.03658977877472144
ANKRD13A,0.027586444583400847
ANKRD17,0.08102536905347876
ANKRD27,0.026443490982391966
ANKRD28,0.03421243328827263
ANKRD52,0.037909177684882306
ANKS1A,0.03001774713616788
ANKZF1,0.017134217935870017
ANO10,0.027046908910450793
ANO6,0.08022042060832486
ANP32A,0.07897444238733303
ANP32B,0.08375741310594814
ANXA11,0.09853285425033818
ANXA4,0.049788956739460294
ANXA7,0.07254877344398278
AP1B1,0.0766708676655829
AP1G1,0.0702778798990146
AP2A1,0.05247175730939212
AP2A2,0.0454878752200623
AP3B1,0.03966984280832483
AP3D1,0.08478625894677722
AP5M1,0.025767415339270936
APBB2,0.06080763266022029
API5,0.0597977241606033
APPBP2,0.039190535416097176
APPL1,0.04328322361106252
APPL2,0.03137958106157473
AQR,0.04171429846327176
ARAP1,0.0385485644193447
ARCN1,0.12082742172403288
AREL1,0.02427713958073723
ARF3,0.1192557271778272
ARFGAP1,0.04583582832799855
ARFGAP2,0.052495763311828196
ARFGEF1,0.07517771233084743
ARFIP2,0.04612983161443957
ARGLU1,0.0497984458288842
ARHGAP1,0.09853053934029145
ARHGAP17,0.033934098378809736
ARHGAP18,0.02108651827933862
ARHGAP35,0.09724097563624369
ARHGEF1,0.04322841691066286
ARHGEF10L,0.026197259145710607
ARHGEF11,0.049487338251986084
