gene,importance,deceased_avg_expression,survivors_avg_expression
AACS,0,0.030478108,0.144686735
AAGAB,0.0004555,0.041709198,0.194986158
AAK1,0,0.028809342,0.117745213
AARS1,9.83E-05,0.086589204,0.410577183
AATF,0.000766508,0.032248273,0.155478896
ABCC1,0.000238059,0.036748194,0.167710454
ABCD3,0.000701173,0.054663997,0.282924583
ABCD4,5.18E-05,0.015971354,0.066294288
ABCE1,0.000240383,0.039853523,0.167006166
ABCF1,0.000143829,0.052034597,0.248604365
ABHD12,9.24E-05,0.043540229,0.215213964
ABHD5,0.000536166,0.024840491,0.098411353
ABI1,3.85E-05,0.04597336,0.19097584
ABI2,7.42E-05,0.035947608,0.151138596
ABL1,0.000467867,0.060762734,0.260433796
ABL2,0.000227411,0.032346185,0.147564013
ABR,3.53E-05,0.046013984,0.208017889
ACACA,0.000175527,0.068713889,0.304776751
ACAD9,0.000399897,0.02231295,0.10291419
ACAP2,0,0.038783663,0.156426505
ACAT1,0.000180713,0.024935262,0.10553637
ACBD3,0.000627362,0.048895195,0.225066737
ACBD6,0,0.0224065,0.110542155
ACIN1,0.000545697,0.085719584,0.406712163
ACO1,0.000543365,0.042577369,0.138458129
ACOX1,0.002322068,0.046092041,0.198633303
ACP1,0.000258801,0.044401752,0.202335452
ACTL6A,0.00025784,0.029526929,0.130810087
ACTR10,0,0.03189026,0.136500101
ACTR1A,0,0.065092567,0.292418041
ACTR1B,0,0.03512403,0.156023536
ACTR2,0.00034742,0.182970147,0.795875883
ACTR3,0.000218207,0.122800371,0.546041977
ACVR1B,0.000600273,0.03293376,0.147014228
ADAM10,0.000330813,0.067879127,0.289389251
ADD1,1.45E-05,0.130963488,0.564804705
ADH5,0,0.062263479,0.248417301
ADI1,6.96E-05,0.036527247,0.164985735
ADIPOR1,0.000203295,0.099570606,0.47388138
ADNP,0.000502306,0.102834503,0.471737647
ADO,0,0.018319873,0.076770076
ADPGK,0.000334608,0.027937338,0.133086856
ADSS2,0.000718832,0.04283884,0.19560481
AFF4,0.000143458,0.093398308,0.395779116
AFTPH,0.000246886,0.053586211,0.236668305
AGAP1,0.000641333,0.031660419,0.135747338
AGAP3,0.000505918,0.037332806,0.17662725
AGFG1,0.000658498,0.050311935,0.199584036
AGO1,0.000522675,0.033822115,0.151624611
AGO2,0.000195256,0.042416796,0.17527272
AGPAT3,0.000657974,0.060799074,0.291901695
AHCTF1,0.000434915,0.043053485,0.19829323
AHCY,0.000160098,0.081970674,0.43030192
AHCYL1,0,0.108757546,0.491002709
AIFM1,0.000231371,0.030616426,0.147159657
AIG1,0.00034325,0.02811512,0.115835096
AK2,0.000248444,0.071600685,0.32005633
AK3,0.000311735,0.037610398,0.144133854
AKAP1,0.000430996,0.055755537,0.235380555
AKAP11,0.000201642,0.043634876,0.168182196
AKAP8,0.000734751,0.018471489,0.087317635
AKIRIN2,0.000905447,0.020530751,0.086697667
AKT1,0.000654395,0.069804951,0.333901254
AKT2,0.000262632,0.074414216,0.345951453
ALAD,0.000615899,0.039440866,0.161694434
ALAS1,0.000537314,0.027726696,0.1208971
ALDH18A1,0,0.072912498,0.331186278
ALDH9A1,8.47E-05,0.075174852,0.326316119
ALG2,0.000695208,0.023271447,0.100396006
ALKBH5,0.000117065,0.053970367,0.246926828
ALMS1,0,0.02336664,0.112264748
ALS2,0.000136576,0.018011935,0.076505193
AMBRA1,0.000129035,0.024776681,0.121426671
AMD1,0.000559871,0.057663683,0.216520689
AMFR,0,0.086723031,0.440875361
AMMECR1L,0.00025134,0.023242418,0.099985696
AMOTL2,0.001698604,0.048001558,0.160131595
ANAPC16,0.00027685,0.058784735,0.247697215
ANAPC4,0.000651727,0.014239505,0.061578568
ANAPC5,0,0.068214318,0.310624595
ANAPC7,0,0.024715657,0.116916147
ANGEL2,0.000598822,0.022997286,0.106274895
ANKIB1,7.12E-05,0.043832046,0.19347361
ANKLE2,0.000602805,0.044419408,0.210177733
ANKRD10,0.000464967,0.042753797,0.196690513
ANKRD11,0.000875387,0.044425095,0.193429762
ANKRD12,0,0.036589779,0.145825422
ANKRD13A,6.33E-05,0.027586445,0.117072273
ANKRD17,0.000167356,0.081025369,0.349496026
ANKRD27,0.000301326,0.026443491,0.112949891
ANKRD28,0.000369743,0.034212433,0.15565909
ANKRD52,0.000879429,0.037909178,0.177686321
ANKS1A,0.000378155,0.030017747,0.131529874
ANKZF1,0.000880032,0.017134218,0.079759909
ANO10,0,0.027046909,0.117156212
ANO6,0.001889532,0.080220421,0.272474796
ANP32A,0,0.078974442,0.368768873
ANP32B,0.000331992,0.083757413,0.38741292
ANXA11,7.15E-05,0.098532854,0.438923013
ANXA4,0,0.049788957,0.205806353
ANXA7,0.000140865,0.072548773,0.309832484
AP1B1,0.000256975,0.076670868,0.359095138
AP1G1,0.000698371,0.07027788,0.307625918
AP2A1,0,0.052471757,0.252590964
AP2A2,0.000691218,0.045487875,0.205789107
AP3B1,0.000559649,0.039669843,0.182197285
AP3D1,0.000705015,0.084786259,0.40053041
AP5M1,0.000419505,0.025767415,0.10940939
APBB2,5.51E-05,0.060807633,0.266228886
API5,0.000739911,0.059797724,0.255498451
APPBP2,0.0006129,0.039190535,0.169368849
APPL1,0,0.043283224,0.186845852
APPL2,0.000403792,0.031379581,0.131650607
AQR,0.000483469,0.041714298,0.173752039
ARAP1,3.32E-05,0.038548564,0.187957517
ARCN1,0,0.120827422,0.520172442
AREL1,0.000188613,0.02427714,0.110911678
ARF3,0.000156504,0.119255727,0.580207844
ARFGAP1,0.001295538,0.045835828,0.237543748
ARFGAP2,0.00026767,0.052495763,0.257896229
ARFGEF1,0.000824012,0.075177712,0.350715188
ARFIP2,0.000468887,0.046129832,0.241940323
ARGLU1,0.002553534,0.049798446,0.193976912
ARHGAP1,0.000202849,0.098530539,0.451110978
ARHGAP17,0,0.033934098,0.140623221
ARHGAP18,0,0.021086518,0.091430035
ARHGAP35,0.000218338,0.097240976,0.452801009
ARHGEF1,0.000466408,0.043228417,0.210962524
ARHGEF10L,0.000675134,0.026197259,0.12198808
ARHGEF11,0.001110328,0.049487338,0.230867405
ARHGEF2,0.001048045,0.063145069,0.287931338
ARHGEF3,0.000137416,0.026203426,0.124998979
ARHGEF7,0.000574613,0.038266953,0.153401376
ARID1A,0,0.080725926,0.371224088
ARID1B,0.000496473,0.061553627,0.247843102
ARID2,0,0.028665206,0.134035591
ARID4B,0.000148532,0.044738925,0.200989423
ARIH1,0.000625483,0.052706314,0.220113235
ARIH2,0,0.029079825,0.13212741
ARL1,3.99E-06,0.069978826,0.317386923
ARL5A,0.000289809,0.018413302,0.075166395
ARL6IP1,0,0.15360807,0.724179457
ARL6IP5,0.000215851,0.106953791,0.447050826
ARL8A,9.00E-05,0.03694215,0.174103885
ARL8B,0,0.070961765,0.307956567
ARMC10,0.000321271,0.023719628,0.104779546
ARMC8,0.000139059,0.023140905,0.09958742
ARMH3,0.00029189,0.019361759,0.084347521
ARNT,0,0.045863892,0.19364792
ARPC2,0.000141589,0.126100466,0.57339993
ARPC3,0,0.078539845,0.377500061
ARPC4,0.000119237,0.051551982,0.242314164
ARPC5,0.0001228,0.101710927,0.481760344
ARRB2,0.000477106,0.020954193,0.097003793
ARRDC3,0.000287601,0.069908924,0.244441506
ASAP3,6.42E-06,0.028395651,0.123044896
ASB13,0.000536085,0.037014708,0.180295485
ASCC2,0.000392751,0.03621311,0.166367394
ASCC3,0,0.034818467,0.152291728
ASH1L,0.000230243,0.079046852,0.349494963
ASXL1,8.21E-05,0.045936701,0.202799283
ATF2,8.15E-05,0.031517641,0.13152503
ATF4,0.000443258,0.158641411,0.69792536
ATF6,0.000829575,0.060537976,0.269577205
ATF6B,0.000573598,0.054466583,0.247256091
ATF7,0.000513851,0.024275672,0.097354654
ATF7IP,0,0.068192356,0.285673852
ATG12,0.00066944,0.024948085,0.106987095
ATG13,0.000156725,0.050135041,0.226225293
ATG16L1,0.000406433,0.026294078,0.122363443
ATG2B,0,0.027130119,0.113105179
ATG3,0.000206834,0.026511745,0.117174742
ATG4B,0,0.025140148,0.116988409
ATG5,0.000471694,0.024333121,0.101657972
ATG7,0.000505678,0.015243177,0.071522023
ATIC,0,0.059510094,0.280104053
ATL2,0.000155591,0.04411268,0.173501147
ATL3,0.000334772,0.081423306,0.334319822
ATMIN,0.000201092,0.045828365,0.192611285
ATN1,0.001224123,0.126327124,0.54510368
ATOX1,0.000534826,0.029345109,0.13915773
ATP13A3,0.000259448,0.066457375,0.29310509
ATP2C1,9.81E-05,0.078717456,0.34401255
ATP5F1C,0.000422394,0.096984726,0.430785943
ATP5IF1,0.000361055,0.036015949,0.183181284
ATP5MC2,0.000276309,0.136121365,0.644140714
ATP5PB,0,0.069064582,0.314972241
ATP5PF,0,0.029372057,0.127863811
ATP6AP1,0.000568834,0.143054938,0.720278133
ATP6AP2,5.58E-05,0.110473563,0.503666355
ATP6V0A1,0.001157917,0.038628971,0.166362521
ATP6V0B,0.000447721,0.069966428,0.353381911
ATP6V0D1,0.000486039,0.048912968,0.224622658
ATP6V0E1,0,0.092643874,0.423819246
ATP6V1A,0.000170784,0.061308242,0.266357103
ATP6V1C1,0.000765997,0.054329859,0.240478007
ATP6V1D,0,0.032637217,0.15192638
ATP6V1E1,8.16E-05,0.061334429,0.27082742
ATP6V1G1,0,0.0757693,0.367835585
ATP6V1H,0.000602866,0.040122951,0.181143545
ATPAF1,0.000781006,0.032891953,0.14618188
ATRAID,0.000453434,0.052164362,0.23304726
ATRN,7.27E-05,0.056658078,0.245200273
ATRX,0.000759157,0.062987181,0.260049542
ATXN10,0,0.062428428,0.28829953
ATXN2,0.00037833,0.025396942,0.11242669
ATXN2L,0.000105894,0.061485265,0.290623786
ATXN7L3,0.000358528,0.037367004,0.178616019
AUP1,0.000275446,0.066525853,0.319231182
AUTS2,0.001189726,0.051989987,0.249443891
AVL9,0.000296678,0.040517725,0.188884495
AZIN1,0,0.151114566,0.632356082
B3GNT2,0.000400446,0.029677665,0.114203172
B4GALT3,0.000655723,0.039770079,0.182804954
B4GALT5,0.00032732,0.055354342,0.213603164
BABAM2,0.00069313,0.018244717,0.075893052
BAG1,0.000306973,0.045937959,0.228152318
BAG3,0,0.049567903,0.21857562
BAG5,0.000221952,0.03819889,0.159720382
BAG6,1.18E-05,0.117191157,0.55775724
BAP1,0.000521771,0.040773509,0.192732845
BAZ1B,0.000271074,0.079593244,0.371127277
BAZ2A,0.000937858,0.07728351,0.336381522
BCCIP,0.000716871,0.031322151,0.133834993
BCL10,0.000306187,0.013621016,0.058283464
BCL2L1,0.000452663,0.049653459,0.240978199
BCL2L13,1.23E-05,0.03882241,0.16591159
BCL2L2,0.00053388,0.028543645,0.118023743
BCL9,0.000640604,0.031577394,0.154493155
BCLAF1,0.000476777,0.089230717,0.363626433
BCR,0.0002397,0.045507954,0.194024822
BFAR,0.000433153,0.039476461,0.177863342
BICD2,7.44E-05,0.024066707,0.102168405
BIRC2,0.00163199,0.036539737,0.149878404
BIRC6,2.91E-05,0.07440539,0.32007741
BLOC1S6,0.000972012,0.034919134,0.13611395
BMPR2,0.000134597,0.082629765,0.332220397
BMS1,0,0.035387038,0.159904488
BNIP2,0.001806972,0.037679587,0.141918457
BNIP3L,0,0.081847807,0.333625721
BOD1,0.000258679,0.026367386,0.120454002
BPNT2,0.000217966,0.097265715,0.403258517
BRAF,0.000641513,0.021995419,0.09769491
BRAP,0,0.017236682,0.077449432
BRD1,0,0.0235733,0.108424019
BRD2,0.000206823,0.140183679,0.637032428
BRD4,0.000140821,0.05623588,0.276113614
BRD7,0.000565708,0.035361706,0.144681497
BRD8,7.19E-05,0.033154715,0.149873881
BRD9,0.000303579,0.019963365,0.090567089
BRI3,0.000387228,0.032733392,0.146755864
BROX,3.55E-05,0.050302251,0.230332823
BRPF3,0.000197074,0.038792045,0.171906041
BRWD1,0.000342634,0.060630617,0.283150177
BSDC1,0.000233433,0.061518422,0.275252398
BTBD1,0.0006097,0.037818891,0.17241903
BTBD7,0.000710349,0.025807675,0.109223552
BTBD9,7.70E-05,0.015088569,0.073534009
BTD,0.000433156,0.02458495,0.106336181
BTF3L4,0.000217766,0.035570793,0.157592832
BTG1,0.000492107,0.098984729,0.434294903
BTRC,0.000335806,0.026171939,0.122799577
BUD23,7.25E-05,0.043873683,0.213713915
BZW2,0,0.046328792,0.223440438
C11orf58,0.000384486,0.087169185,0.397104606
C14orf119,0,0.024887066,0.118286493
C16orf72,0.000483252,0.043553459,0.189133578
C1QBP,0.000359754,0.04177467,0.197280726
C1orf198,0.000160868,0.07535566,0.29935577
C1orf43,0.000144256,0.162315094,0.762819721
C2CD3,0.000254515,0.021502623,0.10931121
C2CD5,0,0.028060322,0.12361791
C2orf68,0.000201623,0.023668042,0.103813639
C4orf3,0.000566713,0.076837213,0.314652555
C5orf15,0.000143025,0.045505804,0.207780047
C5orf24,0.000594273,0.033017637,0.13666878
C5orf51,0.000911153,0.027578584,0.117387168
C6orf62,0.000223802,0.107751176,0.471744885
C6orf89,0.000299117,0.074414122,0.32991948
C8orf33,0.000482782,0.045773632,0.188540932
C9orf78,5.02E-05,0.03243904,0.145749627
CAB39,0.000133083,0.057743105,0.240774417
CABIN1,0.000703419,0.04341683,0.201867276
CACUL1,0.000904907,0.051165633,0.2244836
CACYBP,0.000293785,0.048426408,0.22475109
CAD,0.000257469,0.040147503,0.186766118
CALCOCO1,0.000169684,0.048743048,0.19280094
CALM1,0.001224632,0.174057091,0.722670921
CALM3,0.000382214,0.093004825,0.458949842
CAMK2G,0.000448483,0.018811509,0.081734282
CAMKK2,0.001030812,0.042929978,0.189485834
CAMLG,7.77E-05,0.026709851,0.115819487
CAMSAP1,0.000121482,0.026903146,0.112631852
CAPN7,0.000267921,0.026559503,0.1074067
CAPZA1,0.000555923,0.09465888,0.437403041
CAPZB,0,0.135923449,0.628775312
CARD8,1.39E-05,0.018646938,0.076659394
CARS1,0.000501164,0.023906921,0.115354104
CARS2,0.001175209,0.023451507,0.112111011
CASP2,7.37E-05,0.033268871,0.156536979
CASP3,0,0.021259613,0.098940071
CAST,0,0.103238105,0.440583354
