data origin: '../data/d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv'
17303 coding genes total
67729823 total expressions counted
gene name,unstranded count,normalized_count
COL1A1,738276,0.010900309
MT-CO1,633136,0.009347965
ACTB,619725,0.009149957
ACTG1,504363,0.00744669
FN1,481944,0.0071156835
COL1A2,469298,0.0069289715
RPL19,414601,0.006121395
KRT19,413017,0.006098008
MT-ND4,395071,0.0058330433
MT-CO3,339725,0.005015885
SPARC,332047,0.0049025225
B2M,329101,0.0048590265
GAPDH,319553,0.0047180546
IFI6,289053,0.004267736
HLA-B,278346,0.004109652
MT-CO2,277990,0.004104396
EEF1A1,267840,0.003954536
COL3A1,266732,0.0039381767
SCGB2A2,266303,0.0039318427
IFITM3,233700,0.003450474
KRT8,224036,0.0033077896
MT-ND2,220673,0.0032581363
MT-ND1,214848,0.003172133
GNAS,213242,0.003148421
MT-CYB,205268,0.0030306885
XBP1,204346,0.0030170756
RPS18,200441,0.0029594202
FTL,196623,0.002903049
RPL8,195524,0.002886823
IFI27,186575,0.002754695
RPL3,181874,0.0026852868
ISG15,165796,0.0024479025
HLA-A,165570,0.0024445658
RPS4X,161940,0.0023909705
HLA-C,158292,0.0023371093
TMSB10,155892,0.0023016743
EEF2,155810,0.0023004636
RPLP0,150452,0.0022213552
RPLP1,141706,0.0020922245
LY6E,137825,0.0020349233
PKM,137472,0.0020297114
RPS2,135635,0.002002589
MT-ND5,135007,0.001993317
HSP90AB1,133321,0.0019684238
ENO1,132312,0.0019535264
RPS6,130729,0.0019301542
S100A11,127955,0.0018891973
PABPC1,127168,0.0018775776
RPL13A,122971,0.0018156108
RPL7A,120270,0.0017757318
JUP,119546,0.0017650423
MUC1,116140,0.0017147543
KRT18,112374,0.0016591509
RPL4,112272,0.001657645
RPS24,108850,0.0016071207
TNC,108140,0.0015966379
RPS11,107354,0.0015850329
ANXA2,107095,0.0015812089
LDHA,106167,0.0015675074
SLC40A1,102743,0.0015169536
RPS20,102488,0.0015131887
MT-ATP6,101894,0.0015044186
CXCL14,100357,0.0014817254
TUBB,99456,0.0014684226
EIF1,99219,0.0014649234
RPL10,98829,0.0014591652
CALR,98810,0.0014588847
TMSB4X,97609,0.0014411524
AEBP1,97568,0.001440547
STAT1,97356,0.001437417
PDIA3,95843,0.0014150783
TPT1,95604,0.0014115495
CD74,95564,0.0014109589
RACK1,95117,0.0014043592
HSP90AA1,94818,0.0013999447
HSPA5,92654,0.0013679941
CTSD,92158,0.0013606709
MYH9,91891,0.0013567287
RPS3,91665,0.001353392
RPL32,91136,0.0013455815
ERBB2,90541,0.0013367967
RPL28,90214,0.0013319686
COL6A2,89343,0.0013191088
IFIT1,88622,0.0013084635
PSAP,88110,0.0013009041
RPS8,87080,0.0012856965
MX1,86789,0.0012814001
RPL35A,86662,0.001279525
ARF1,86549,0.0012778565
COL6A1,86169,0.001272246
CFL1,86044,0.0012704005
YWHAZ,85002,0.0012550158
RPL27A,83569,0.0012338583
TAGLN2,82371,0.0012161703
RPL11,82237,0.0012141919
TPM3,81617,0.0012050378
RPL7,80251,0.0011848694
CD24,80037,0.0011817098
GPRC5A,79712,0.0011769114
RPL12,79062,0.0011673145
CLU,76760,0.0011333264
ADAR,76275,0.0011261656
UBC,76033,0.0011225926
BGN,75572,0.0011157861
RPS19,75096,0.0011087583
GRINA,74795,0.0011043141
MMP11,73539,0.0010857699
RPL37,72460,0.0010698389
POSTN,72197,0.0010659558
PIP,71692,0.0010584998
P4HB,70684,0.001043617
CASP14,70610,0.0010425245
LUM,70530,0.0010413433
APP,70265,0.0010374307
RPLP2,70120,0.0010352898
DHCR24,70019,0.0010337987
PLAAT4,68431,0.0010103525
IGFBP4,67819,0.0010013167
RPL5,67599,0.0009980685
COL6A3,66916,0.0009879842
IFITM1,66359,0.0009797604
RPS14,66283,0.0009786383
TPM4,66268,0.0009784169
RPL18,66127,0.000976335
BSG,64302,0.00094938977
FLNA,64213,0.0009480757
EIF4G2,63088,0.0009314656
TMBIM6,62108,0.00091699633
PTMA,60985,0.00090041576
AP2M1,60686,0.0008960012
BST2,60544,0.0008939046
HLA-E,60000,0.0008858727
PPDPF,59896,0.0008843372
HNRNPU,59191,0.0008739282
RPL29,58918,0.0008698974
RPL24,58786,0.0008679485
CD81,58550,0.0008644641
CANX,58396,0.0008621903
RPL15,58122,0.0008581449
CD9,57926,0.00085525104
MARCKSL1,57426,0.00084786874
RPL13,57348,0.0008467171
LBP,57305,0.0008460822
EIF3H,56885,0.00083988113
HSPA8,56174,0.00082938356
MYL6,56138,0.000828852
RPL36,55150,0.00081426464
NPM1,55056,0.0008128768
SFRP2,54579,0.0008058341
RPL10A,54487,0.00080447574
RPS27,54253,0.0008010208
LGALS3BP,53828,0.0007947459
RPL31,53730,0.000793299
ELOVL5,52945,0.0007817088
TNFSF10,52905,0.00078111823
DSTN,52809,0.0007797008
RPL14,52659,0.0007774862
CTSB,52534,0.0007756406
CSRP1,51887,0.0007660879
FASN,51274,0.00075703725
CRABP2,50639,0.0007476618
NACA,50560,0.0007464954
CCT3,49905,0.0007368246
APLP2,49576,0.00073196704
COL5A2,49323,0.0007282316
RPN2,49070,0.0007244962
CALM2,48776,0.0007201554
SDC1,48604,0.00071761594
IGFBP3,48414,0.0007148107
